temp,humi,mq135,mq7,pm2.5,uv_index
"{'ts': 1689494311575, 'value': '31.8'}","{'ts': 1689494311575, 'value': '79.0'}","{'ts': 1689494311575, 'value': '0.8689'}","{'ts': 1689494311575, 'value': '9.1935'}","{'ts': 1689494311575, 'value': '0.0461'}","{'ts': 1689494311575, 'value': '1.8555'}"
"{'ts': 1689494152971, 'value': '31.8'}","{'ts': 1689494152971, 'value': '79.0'}","{'ts': 1689494152971, 'value': '0.8689'}","{'ts': 1689494152971, 'value': '9.1057'}","{'ts': 1689494152971, 'value': '0.0386'}","{'ts': 1689494152971, 'value': '3.5156'}"
"{'ts': 1689493994352, 'value': '31.8'}","{'ts': 1689493994352, 'value': '79.0'}","{'ts': 1689493994352, 'value': '0.8689'}","{'ts': 1689493994352, 'value': '9.1057'}","{'ts': 1689493994352, 'value': '0.0453'}","{'ts': 1689493994352, 'value': '3.3203'}"
"{'ts': 1689493838481, 'value': '31.8'}","{'ts': 1689493838481, 'value': '79.0'}","{'ts': 1689493838481, 'value': '0.8162'}","{'ts': 1689493838481, 'value': '8.7591'}","{'ts': 1689493838481, 'value': '0.0478'}","{'ts': 1689493838481, 'value': '4.1016'}"
"{'ts': 1689493804611, 'value': '32.3'}","{'ts': 1689493804611, 'value': '77.0'}","{'ts': 1689493804611, 'value': '0.837'}","{'ts': 1689493804611, 'value': '12.5194'}","{'ts': 1689493804611, 'value': '0.0478'}","{'ts': 1689493804611, 'value': '6.7383'}"
"{'ts': 1689493648749, 'value': '32.3'}","{'ts': 1689493648749, 'value': '77.0'}","{'ts': 1689493648749, 'value': '0.8725'}","{'ts': 1689493648749, 'value': '12.2769'}","{'ts': 1689493648749, 'value': '0.0453'}","{'ts': 1689493648749, 'value': '8.252'}"
"{'ts': 1689493492877, 'value': '32.3'}","{'ts': 1689493492877, 'value': '78.0'}","{'ts': 1689493492877, 'value': '0.3383'}","{'ts': 1689493492877, 'value': '7.8863'}","{'ts': 1689493492877, 'value': '0.0848'}","{'ts': 1689493492877, 'value': '0.0'}"
"{'ts': 1689493337034, 'value': '32.3'}","{'ts': 1689493337034, 'value': '78.0'}","{'ts': 1689493337034, 'value': '0.3383'}","{'ts': 1689493337034, 'value': '7.8863'}","{'ts': 1689493337034, 'value': '0.0839'}","{'ts': 1689493337034, 'value': '0.0488'}"
"{'ts': 1689493178239, 'value': '32.3'}","{'ts': 1689493178239, 'value': '77.0'}","{'ts': 1689493178239, 'value': '0.3502'}","{'ts': 1689493178239, 'value': '7.9809'}","{'ts': 1689493178239, 'value': '0.0839'}","{'ts': 1689493178239, 'value': '3.0273'}"
"{'ts': 1689493016435, 'value': '32.3'}","{'ts': 1689493016435, 'value': '77.0'}","{'ts': 1689493016435, 'value': '0.3502'}","{'ts': 1689493016435, 'value': '8.076'}","{'ts': 1689493016435, 'value': '0.0848'}","{'ts': 1689493016435, 'value': '7.1777'}"
"{'ts': 1689492860568, 'value': '32.3'}","{'ts': 1689492860568, 'value': '77.0'}","{'ts': 1689492860568, 'value': '0.3502'}","{'ts': 1689492860568, 'value': '8.1718'}","{'ts': 1689492860568, 'value': '0.0848'}","{'ts': 1689492860568, 'value': '2.7344'}"
"{'ts': 1689492704646, 'value': '32.2'}","{'ts': 1689492704646, 'value': '77.0'}","{'ts': 1689492704646, 'value': '0.3507'}","{'ts': 1689492704646, 'value': '8.2682'}","{'ts': 1689492704646, 'value': '0.0839'}","{'ts': 1689492704646, 'value': '4.4922'}"
"{'ts': 1689492545615, 'value': '31.8'}","{'ts': 1689492545615, 'value': '78.0'}","{'ts': 1689492545615, 'value': '0.3509'}","{'ts': 1689492545615, 'value': '8.3651'}","{'ts': 1689492545615, 'value': '0.0839'}","{'ts': 1689492545615, 'value': '1.2695'}"
"{'ts': 1689492386811, 'value': '31.8'}","{'ts': 1689492386811, 'value': '78.0'}","{'ts': 1689492386811, 'value': '0.3509'}","{'ts': 1689492386811, 'value': '8.4627'}","{'ts': 1689492386811, 'value': '0.0839'}","{'ts': 1689492386811, 'value': '2.2949'}"
"{'ts': 1689492230937, 'value': '31.8'}","{'ts': 1689492230937, 'value': '78.0'}","{'ts': 1689492230937, 'value': '0.3509'}","{'ts': 1689492230937, 'value': '8.5609'}","{'ts': 1689492230937, 'value': '0.0839'}","{'ts': 1689492230937, 'value': '7.5684'}"
"{'ts': 1689492072338, 'value': '31.8'}","{'ts': 1689492072338, 'value': '78.0'}","{'ts': 1689492072338, 'value': '0.3609'}","{'ts': 1689492072338, 'value': '8.7591'}","{'ts': 1689492072338, 'value': '0.0831'}","{'ts': 1689492072338, 'value': '3.9063'}"
"{'ts': 1689491913740, 'value': '32.3'}","{'ts': 1689491913740, 'value': '77.0'}","{'ts': 1689491913740, 'value': '0.3602'}","{'ts': 1689491913740, 'value': '8.8591'}","{'ts': 1689491913740, 'value': '0.0839'}","{'ts': 1689491913740, 'value': '0.5859'}"
